Jahr,DE_insgesamt,DE_Maenner,DE_Frauen,West_insgesamt,West_Maenner,West_Frauen,Ost_insgesamt,Ost_Maenner,Ost_Frauen
2023,77.2,80.8,73.6,77.3,81.2,73.4,76.7,79.3,74.0
2022,76.8,80.5,73.0,76.7,80.7,72.6,77.1,79.7,74.5
2021,75.6,79.2,72.0,75.5,79.4,71.5,76.3,78.5,74.0
2020,75.5,79.0,71.8,75.3,79.3,71.3,76.1,77.9,74.2
2019,76.7,80.5,72.8,76.7,80.9,72.4,76.8,78.8,74.7
2018,75.9,79.6,72.1,75.9,80.0,71.6,76.0,78.0,73.9
2017,75.2,78.9,71.5,75.2,79.3,71.1,75.3,77.1,73.3
2016,74.4,78.0,70.6,74.4,78.5,70.3,74.2,76.1,72.1
2015,73.8,77.7,69.8,74.0,78.4,69.6,72.8,74.8,70.8
2014,73.6,77.8,69.3,73.8,78.5,69.1,72.6,74.7,70.5
2013,73.3,77.7,68.8,73.5,78.4,68.5,72.5,74.9,70.0
2012,72.8,77.6,68.0,73.0,78.4,67.6,72.0,74.6,69.3
2011,72.5,77.3,67.7,72.7,78.1,67.3,72.0,74.3,69.5
2010,71.0,75.9,66.0,71.1,76.6,65.5,70.6,72.8,68.2
2009,70.2,75.3,65.1,70.5,76.3,64.7,69.1,71.3,66.8
2008,70.0,75.7,64.2,70.6,77.0,64.1,67.8,70.6,64.9
2007,68.9,74.5,63.1,69.6,76.0,63.1,66.0,68.9,63.1
2006,67.1,72.7,61.4,68.1,74.5,61.5,63.4,65.9,60.8
2005,65.4,71.2,59.5,66.5,73.3,59.7,61.2,63.5,58.8
2004,64.3,70.1,58.4,65.5,72.2,58.7,59.8,62.2,57.3
2003,64.9,70.9,58.8,66.1,72.9,59.1,60.5,63.3,57.5
2002,65.4,71.9,58.8,66.6,74.1,59.1,60.8,64.0,57.5
2001,65.8,72.7,58.8,67.0,74.8,59.1,61.5,65.2,57.5
2000,65.4,72.8,57.7,66.3,74.7,57.8,61.8,66.2,57.2
1999,64.8,72.4,56.9,65.5,74.0,56.8,62.1,66.6,57.4
1998,63.8,71.8,55.5,64.6,73.5,55.4,61.0,65.7,56.0
1997,63.7,71.9,55.2,64.2,73.3,54.8,61.8,66.9,56.5
1996,64.2,72.7,55.4,64.5,73.9,54.8,63.0,68.3,57.5
1995,64.6,73.9,55.0,64.8,74.9,54.4,64.0,70.3,57.5
1994,64.6,74.0,55.0,65.1,75.3,54.5,63.0,69.2,56.5
1993,65.1,75.0,54.9,65.8,76.6,54.7,62.5,69.1,55.8
1992,66.6,76.9,56.0,67.0,78.3,55.4,65.0,71.9,58.1
1991,67.8,78.4,57.0,66.6,78.5,54.3,72.1,78.2,66.2
